"pkgname";"pkgver";"arch";"pkgrel";"location";"dep";"sizeC";"sizeU";"Desc"
"OpenSceneGraph";"2.9.7";"i486";"2mb";"/salix/l";"cairo,curl,cxxlibs|gcc-g++,cyrus-sasl,expat,fontconfig,freetype,gcc,gdk-pixbuf2,giflib,glib2,gtk+2,ilmbase,jasper,lcms,libICE,libSM,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libXxf86vm,libdrm,libidn,libjpeg,libpng,librsvg,libtiff,libxcb,libxml2,mesa,openexr,openldap-client,openssl-solibs|openssl,pango,pixman,poppler,util-linux,zlib";"5658 K";"22632 K";" OpenSceneGraph (3D graphics toolkit)  The OpenSceneGraph is an open source cross platform graphics toolkit for the development of high performance graphics applications such as flight simulators, games, virtual reality and scientific visualization. Based around the concept of a scene graph, it provides an object oriented framework on top of OpenGL freeing the developer from implementing and optimizing low level graphics calls, and provides many additional utilities for rapid development of graphics applications. "
"R";"2.12.1";"i486";"1gv";"/salix/xap";"bzip2,cairo,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,gcc-gfortran,glib2,lapack,libICE,libSM,libX11,libXau,libXdmcp,libXext,libXmu,libXrender,libXt,libjpeg,libpng,libtiff,libxcb,ncurses,pango,pcre,pixman,readline,util-linux,xz,zlib";"23097 K";"92388 K";" R (The R Project for Statistical Computing)  R is a language and environment for statistical computing and graphics. It is a GNU project which is similar to the S language and environment. The S language is often the vehicle of choice for research in statistical methodology, and R provides an Open Source route to participation in that activity. One of R's strengths is the ease with which well-designed publication-quality plots can be produced, including mathematical symbols and formulae where needed.  "
"SDL_Pango";"0.1.2";"i486";"2dj";"/salix/l";"expat,fontconfig,freetype,gcc,cxxlibs|gcc-g++,glib2,libX11,libXau,libXdmcp,libXext,libXrandr,libXrender,libxcb,pango,sdl,svgalib,zlib";"19 K";"76 K";" SDL_Pango (Pango bindings for SDL)  Pango is a text rendering engine. SDL_Pango connects the engine to SDL.  Homepage: http://sdlpango.sourceforge.net/     "
"SDL_gfx";"2.0.22";"i486";"1dj";"/salix/l";"libX11,libXau,libXdmcp,libXext,libXrandr,libXrender,libxcb,sdl,svgalib";"54 K";"216 K";" SDL_gfx (SDL graphics drawing library)  SDL graphics drawing  primitives  and other support functions. The SDL_gfx  library  evolved  out of the SDL_gfxPrimitives code which provided basic drawing routines such as lines, circles or polygons and SDL_rotozoom which  implemented a interpolating rotozoomer for SDL surfaces. homepage: http://www.ferzkopp.net/Software/SDL_gfx-2.0/   "
"SDL_perl";"1.20.0";"i486";"4dj";"/salix/l";"SDL_gfx,cxxlibs|gcc-g++,freetype,libX11,libXau,libXdamage,libXdmcp,libXext,libXfixes,libXrandr,libXrender,libXxf86vm,libdrm,libjpeg,libpng,libtiff,libxcb,mesa,sdl,svgalib,zlib";"269 K";"1076 K";" SDL_perl (Simple DirectMedia Library Bindings for Perl)  SDL_perl is glue (bindings) between SDL and Perl. Homepage: http://sdl.perl.org/       "
"SDL_sound";"1.0.3";"i486";"2dj";"/salix/l";"flac,libX11,libXau,libXdmcp,libXext,libXrandr,libXrender,libogg,libvorbis,libxcb,sdl,speex,svgalib";"94 K";"376 K";" SDL_sound (a sound library add-on for SDL)  SDL_sound is a library that handles the decoding of several popular sound file formats, such as .WAV and .MP3.       "
"SimGear";"2.0.0";"i486";"1mb";"/salix/l";"";"1107 K";"4428 K";" SimGear (A set of libraries for quickly assembling 3d simulations)  SimGear is a set of open-source libraries designed to be used as building blocks for quickly assembling 3d simulations, games, and visualization applications. SimGear is a relatively new project, and while quite a bit of code has been written in conjunction with the FlightGear project, the final interface and arrangements are still evolving. The term 'Simulation Kernel' is a bit presumptuous for us at this point, but this is the direction we are heading with SimGear. "
"Twisted";"10.2.0";"i486";"1dj";"/salix/l";"python,zope.interface";"3141 K";"12564 K";" Twisted (Python networking framework)  Twisted is an event-driven networking framework written in Python and licensed under the MIT license. See the FAQ for commonly asked questions about Twisted. Twisted projects variously support TCP, UDP, SSL/TLS, multicast, Unix sockets, a large number of protocols (including HTTP, NNTP, IMAP, SSH, IRC, FTP, and others), and much more.)   "
"Xdialog";"2.3.1";"i486";"1gv";"/salix/xap";"atk,cairo,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gtk+2,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libpng,libxcb,pango,pixman,zlib";"305 K";"1220 K";" Xdialog - X replacement for the "dialog" program  Xdialog is designed to be a drop in replacement for the "dialog" or "cdialog" programs. It converts any terminal based program into a program with an X-windows interface. The dialogs are easier to see and use while adding even more functionalities (e.g. with the treeview, the file selector, the edit box, the range box, the help button/box). Because Xdialog uses GTK+, it will also match your desktop theme.   "
"a52dec";"0.7.4";"i486";"1tm";"/salix/l";"";"40 K";"160 K";" a52dec - ATSC A/52 Decoding Library  Liba52 is a free library for decoding ATSC A/52 streams. It is released under the terms of the GPL license. The A/52 standard is used in a variety of applications, including digital television and DVD. It is also known as AC-3.  liba52 is distributed with a small test program, a52dec.   "
