"pkgname";"pkgver";"arch";"pkgrel";"location";"dep";"sizeC";"sizeU";"Desc"
"dovecot";"1.2.16";"i486";"1tm";"/salix/n";"bzip2,cyrus-sasl,db44,mysql,openldap-client,openssl-solibs|openssl,sqlite,zlib";"1463 K";"5852 K";" dovecot (IMAP and POP3 server)  Dovecot is an open source  IMAP and POP3 server for Linux/UNIX-like systems, written with security primarily in mind. Dovecot is an excellent choice for both small and large installations. It's fast, simple to set up, requires no special administration and it uses very little memory. Make sure you read the documentation about how to set this up, especially the info about creating dovecot user and groups in /usr/doc/dovecot-1.2.16/README.Slackware "
"dovecot-sieve";"0.1.18";"i486";"1tm";"/salix/n";"cyrus-sasl,openldap-client,openssl-solibs|openssl";"195 K";"780 K";" dovecot-sieve (Sieve implementation for Dovecot)  Dovecot Sieve is a fully rewritten Sieve implementation for Dovecot v1.2 and newer. The main reason for rewriting the Sieve engine was to provide more reliable script execution and to provide better error messages to users and system administrators. This implementation is part of the Pigeonhole project.    "
"dvdauthor";"0.7.0";"i486";"1ab";"/salix/ap";"bzip2,cairo,cxxlibs|gcc-g++,djvulibre,expat,fftw,fontconfig,freetype,fribidi,gcc,gdk-pixbuf2,glib2,ilmbase,imagemagick,jasper,lcms,libICE,libSM,libX11,libXau,libXdmcp,libXext,libXrender,libXt,libdvdread,libjpeg,libpng,librsvg,libtiff,libtool,libwmf,libxcb,libxml2,openexr,pango,pixman,util-linux,xz,zlib";"153 K";"612 K";" dvdauthor (a simple set of tools to help you author a DVD)  A set of low-level tools to help you author a DVD. Start with a suitably-formatted MPEG stream (as created by various tools, such as FFmpeg or mjpegtools), and graphic images for your menus, and you can define buttons, chapters etc and turn the whole lot into a DVD-Video disc.     "
"e-uae";"0.8.29.wip4";"i486";"1gv";"/salix/games";"atk,cairo,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gtk+2,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libXxf86vm,libdrm,libpng,libxcb,mesa,pango,pixman,sdl,svgalib,zlib";"714 K";"2856 K";" e-uae (an emulator for the Commodore Amiga)  E-UAE is a version of UAE, the Ubiquitous Amiga Emulator, with an emulation core largely based on WinUAE. It attempts to bring many of the great features of WinUAE to non-Windows platforms. E-UAE is open-source software and is made available under the terms of the GNU GPL. To make full use of E-UAE you will need access to an image of some version of the Amiga Kickstart ROM (although UAE does include a ROM emulation which may work with some old games). The Amiga Kickstart ROMs are copyrighted material and may not be freely distributed."
"easypmp";"0.14";"i486";"1gv";"/salix/ap";"libid3tag,libogg,libvorbis,zlib";"153 K";"612 K";" easypmp (pmplib) is a portable music player database manager easypmp is a command line utility used to create and maintain the music database and playlists on a variety of portable media players including the iRiver H100 and H300 series, the iRiver H10, U10 and E10, the Samsung YH-820, YH-920 and YH-925, the MSI MEGA PLAYER 540 and the Philips HDD6320."
"easytag";"2.1.6";"i486";"3tm";"/salix/xap";"atk,cairo,cxxlibs|gcc-g++,expat,flac,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gtk+2,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libid3tag,libmp4v2,libogg,libpng,libvorbis,libxcb,pango,pixman,speex,wavpack,zlib";"554 K";"2216 K";" easytag (tag editor for mp3, aac, ogg vorbis, flac, mpc, ape...)  EasyTAG is a utility for viewing and editing tags for MP3, MP2, FLAC, Ogg Vorbis, MusePack (.mpc), MP4/aac, ogg/speex and Monkey's Audio files (.ape).  It's simple and nice GTK+ 2 interface makes tagging easy.    "
"eclipse";"3.7";"i486";"1cp";"/salix/xap";"jdk";"208093 K";"832372 K";" eclipse - indigo (Java IDE for Java EE)  Eclipse is an open source community, whose projects are focused on building an open development platform comprised of extensible frameworks, tools and runtimes for building, deploying and managing software across the lifecycle.     "
"elinks";"0.11.7";"i486";"1lm";"/salix/n";"bzip2,expat,gmp,gpm,guile,libidn,libtool,openssl-solibs|openssl,zlib";"725 K";"2900 K";" elinks (ELinks - Full-Featured Text WWW Browser)  ELinks is an advanced and well-established feature-rich text mode web (HTTP/FTP/..) browser. ELinks can render both frames and tables, is highly customizable, and can be extended via Lua or Guile scripts. It is very portable and runs on a variety of platforms.     "
"email";"3.1.3";"i486";"1gv";"/salix/n";"openssl-solibs|openssl";"66 K";"264 K";" email (A command line SMTP client that's simple)  Email sends email to remote SMTP servers via the command line, which makes it useful in cron jobs. It will send to any RFC standard remote ESMTP server, is TLS/SSL enabled, and will allow you to encrypt, sign, and design your message on the fly. It has the capability to use signature files with dynamic options, address book functionality, and users can also attach pictures, binary files, documents, or whatever they want. It is completely compatible with GNUPG for encryption and signing, and is easy to configure and use. "
"emesene";"1.6.3";"i486";"1vc";"/salix/xap";"dbus-python,gst-python,notify-python,pycairo,pygobject,pygtk,python";"1731 K";"6924 K";" emesene (Windows Live Messenger (tm) network multiplatform client)  The main idea is to make a client similar to the official MSN Messenger client but keeping it simple and with a nice GUI. Emesene is a python/gtk MSN messenger clone, it uses emesenelib (MSNP13) and try to be a nice looking and simple MSN client. http://emesene.org/    "
"encfs";"1.7.4";"i486";"1pw";"/salix/ap";"boost,cxxlibs|gcc-g++,fuse,gcc,openssl-solibs|openssl,rlog";"299 K";"1196 K";" encfs (C++ logging library)  EncFS provides an encrypted filesystem in user-space. It runs without any special permissions and uses the FUSE library and Linux kernel module to provide the filesystem interface. As with most encrypted filesystems, Encfs is meant to provide security against off-line attacks; ie your notebook or backups fall into the wrong hands, etc. The way Encfs works is different from the "loopback" encrypted filesystem support built into the Linux kernel because it works on files at a time, not an entire block device. This is a big advantage in some ways, but does not come without a cost. "
"enigma";"r1830";"i486";"2gv";"/salix/games";"curl,cxxlibs|gcc-g++,cyrus-sasl,freetype,gcc,libX11,libXau,libXdmcp,libXext,libXrandr,libXrender,libidn,libjpeg,libpng,libtiff,libxcb,openldap-client,openssl-solibs|openssl,sdl,svgalib,xerces-c,zlib";"15695 K";"62780 K";" Enigma (a puzzle game inspired by Oxyd on the Atari ST)  Enigma is a puzzle game inspired by Oxyd on the Atari ST and Rock'n'Roll on the Amiga. The object of the game is to find and uncover pairs of identically colored Oxyd stones. Simple? Yes. Easy? Certainly not! Hidden traps, vast mazes, laser beams, and, most of all, countless hairy puzzles usually block your direct way to the Oxyd stones...   "
"epdfview";"0.1.7";"i486";"5gv";"/salix/xap";"atk,cairo,cups,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gtk+2,lcms,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libjpeg,libpng,libxcb,libxml2,openssl-solibs|openssl,pango,pixman,poppler,zlib";"109 K";"436 K";" epdfview (a PDF document viewer)  ePDFView is a free lightweight PDF document viewer using Poppler and GTK+ libraries.       "
"epiphany";"2.30.6";"i486";"1gv";"/salix/gnome";"GConf,ORBit2,atk,cairo,cxxlibs|gcc-g++,dbus,dbus-glib,enchant,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gnutls,gst-plugins-base,gstreamer,gtk+2,icu,libICE,libSM,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libXt,libgcrypt,libgnome-keyring,libgpg-error,libjpeg,libnotify,libpng,libproxy,libsoup,libxcb,libxml2,libxslt,pango,pixman,sqlite,startup-notification,util-linux,webkit,xcb-util,zlib";"2113 K";"8452 K";" epiphany (a web browser using the webkit rendering engine)  Epiphany is the web browser for the GNOME desktop. Its goal is to be simple and easy to use. Epiphany ties together many GNOME components order to let you focus on the Web content, instead of the browser application. As part of the GNOME project, Epiphany is Free Software.     "
"epiphany-extensions";"2.32.0";"i486";"1gv";"/salix/gnome";"";"378 K";"1512 K";" epiphany-extensions (Extensions for the Epiphany web browser)  This package adds extra features to GNOME's Epiphany web browser, including action, adblocking, auto-reload, auto-scroller, console, extensions manager, find, greasemonkey, javaconsole, mouse gestures, move tabs between windows, python-console, pushscroller, rss extension, error viewer and validator, certificate viewer, sidebar, smart bookmarks, page info, CSS Stylesheet, favicon.ico, tab states and a GNOME Dashboard interface.  "
"erlang-otp";"R14B02";"i486";"1ab";"/salix/d";"atk,cairo,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gtk+2,libICE,libSM,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libXxf86vm,libdrm,libjpeg,libpng,libtiff,libxcb,mesa,ncurses,openssl-solibs|openssl,pango,pixman,sdl,svgalib,util-linux,wxGTK,zlib";"49781 K";"199124 K";" erlang-otp (a programming language and runtime environment)  Erlang is a general-purpose programming language and runtime environment. Erlang has built-in support for concurrency, distribution and fault tolerance. Erlang is used in several large telecommunication systems from Ericsson. Erlang is available as open source from http://www.erlang.org.    "
"esdl";"1.0.1";"i486";"1ab";"/salix/l";"cxxlibs|gcc-g++,erlang-otp,gcc,libX11,libXau,libXdamage,libXdmcp,libXext,libXfixes,libXrandr,libXrender,libXxf86vm,libdrm,libxcb,mesa,sdl,svgalib";"201 K";"804 K";" esdl (Erlang bindings to SDL)  Esdl is an Erlang binding to SDL and includes a binding to OpenGL. Esdl was created to be used in Wings3D but in other projects as well. SDL (and esdl) mainly does image blitting and input for games, if you want a gui which handles windows and widgets checkout wxErlang.     "
"espeak";"1.45.03";"i486";"1dj";"/salix/ap";"alsa-lib,cxxlibs|gcc-g++,dbus,gcc,jack,portaudio";"755 K";"3020 K";" eSpeak (a compact open source software speech synthesizer)  eSpeak produces good quality English speech. It uses a different synthesis method from other open source text to speech (TTS) engines, and sounds quite different. It's perhaps not as natural or smooth, but some find the articulation clearer and easier to listen to for long periods. It can run as a command line program to speak text from a file or from stdin.  HomePage:http://espeak.sourceforge.net/ "
"etm";"707";"i486";"1fg";"/salix/xap";"python,python-dateutil,wxPython";"202 K";"808 K";" etm (Event and Task Manager)  etm provides a format for using simple text files to store event, task and action information, a command line interface for viewing tasks and events in a variety of convenient ways and a wx(python)-based GUI for creating and modifying events and tasks as well as viewing them.    "
"evince";"2.32.0";"i486";"3gv";"/salix/gnome";"atk,cairo,cups,cxxlibs|gcc-g++,djvulibre,expat,fontconfig,freetype,gcc,gdk-pixbuf2,ghostscript,glib2,gtk+2,lcms,libICE,libSM,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libidn,libjpeg,libpng,libspectre,libtiff,libxcb,libxml2,openssl-solibs|openssl,pango,pixman,poppler,util-linux,zlib";"737 K";"2948 K";" evince (simply a document viewer)  Evince is a document viewer for multiple document formats. It currently supports pdf, postscript, djvu, tiff and dvi. The goal of evince is to replace the multiple document viewers that exist on the GNOME Desktop with a single simple application.     "
"exaile";"0.3.2.1";"i486";"1tm";"/salix/xap";"dbus-python,gstreamer,gst-plugins-base,gst-plugins-good,gst-python,mutagen,notify-python,pycairo,pygobject,pygtk,python";"1147 K";"4588 K";" exaile - GTK+ music player similar to Amarok  Exaile is a music player aiming to be similar to KDE's Amarok, but for GTK+ and written in Python. It incorporates many of the cool things from Amarok (and other media players) like automatic fetching of album art, handling of large libraries, lyrics fetching, artist/album information via Wikipedia, Last.fm submission support, and optional iPod support via a plugin.   "
"faac";"1.28";"i686";"1tm";"/salix/ap";"gcc,cxxlibs|gcc-g++";"76 K";"304 K";" faac is an open source MPEG-4 and MPEG-2 AAC encoder  FAAC is an open source MPEG-4 and MPEG-2 AAC encoder, it is licensed under the LGPL license. Features:     * Portable     * Reasonably fast     * LC, Main, LTP support     * DRM support through DreaM  "
"faad2";"2.7";"i486";"1tm";"/salix/ap";"";"160 K";"640 K";" faad is an open source MPEG-4 and MPEG-2 AAC decoder  FAAD2 is an open source MPEG-4 and MPEG-2 AAC decoder, it is licensed under the GPLv2 license. Features:     * Portable     * Reasonably fast     * LC, Main, LTP, SBR, PS support     * DRM support through DreaM  "
"fairymax";"4.8";"i486";"1gv";"/salix/games";"";"28 K";"112 K";" fairymax (an AI for playing user-defined Chess variants)  Fairy-Max is an AI, also called 'engine', for playing Chess variants. It is free open-source software. It was created for the purpose of empirically evaluating fairy pieces, by allowing those to participate amongst orthodox Chess pieces in Chess games aimed at checkmating an opponent royal piece. It searches ahead like the FIDE-Chess engine from which it was derived by generating moves and trying them out on the internal board. Fairy-Max is only an AI. It does not provide any graphics to display the position of the game it is playing, but only relays the moves as text."
"fakeroot";"1.14.5";"i486";"1gv";"/salix/ap";"";"58 K";"232 K";" fakeroot (provides a faked root environment suitable for many tasks)  Fakeroot makes it possible to run commands in an environment faking root privileges. This is done by setting LD_PRELOAD to libfakeroot.so, which provides wrappers around getuid, chown, chmod, mknod, stat, and so on, thereby creating a fake root environment.     "
"farsight2";"0.0.27";"i486";"1cp";"/salix/l";"glib2,gst-plugins-base,gstreamer,libnice,libxml2,python,zlib";"164 K";"656 K";" farsight2 (Audio/Video Communications Framework)  The Farsight project is an effort to create a framework to deal with all known audio/video conferencing protocols. On one side it offers a generic API that makes it possible to write plugins for different streaming protocols, on the other side it offers an API for clients to use those plugins.    "
"fbpanel";"6.1";"i486";"1vc";"/salix/xap";"atk,cairo,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gtk+2,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libpng,libxcb,pango,pixman,zlib";"176 K";"704 K";" fbpanel (panel application)  fbpanel is a lightweight GTK2-based panel for UNIX desktop, which provides graphical information and feedback about desktop activity and allows interaction with the window manager. It features a taskbar, pager, launchbar, show desktop, image viewer, clock, and system tray. http://fbpanel.sourceforge.net/   "
"fbreader";"0.12.10";"i486";"2dj";"/salix/xap";"bzip2,curl,cyrus-sasl,expat,fontconfig,freetype,fribidi,gcc,cxxlibs|gcc-g++,glib2,libICE,libSM,libX11,libXau,libXdmcp,libXext,libXrender,libidn,liblinebreak,libpng,libxcb,openldap-client,openssl-solibs|openssl,qt,sqlite,util-linux,zlib";"1681 K";"6724 K";" FBReader (e-book reader)  FBReader is an e-book reader for various platforms. It was orignally written for Sharp Zaurus.  Homepage: http://fbreader.org     "
"feedparser";"4.1";"i486";"2gv";"/salix/l";"python";"52 K";"208 K";" feedparser (Parse RSS feeds in Python)  feedparser is a Python utility to parse RSS and Atom feeds        "
"feh";"1.12";"i486";"1pw";"/salix/xap";"curl,cyrus-sasl,freetype,giblib,imlib2,libX11,libXau,libXdmcp,libXext,libXinerama,libidn,libpng,libxcb,openldap-client,openssl-solibs|openssl,zlib";"205 K";"820 K";" feh (a fast and light Imlib2-based image viewer)  feh is an X11 image viewer aimed mostly at console users. Unlike most other viewers, it does not have a fancy GUI, but simply displays images. It is controlled via commandline arguments and configurable key/mouse actions.     "
"ffmpeg";"0.6.5";"i486";"1gv";"/salix/xap";"alsa-lib,bzip2,cxxlibs|gcc-g++,gcc,lame,libX11,libXau,libXdmcp,libXext,libXfixes,libXrandr,libXrender,libogg,libtheora,libvorbis,libvpx,libxcb,opencore-amr,orc,schroedinger,sdl,speex,svgalib,x264,xvidcore,zlib";"2116 K";"8464 K";" ffmpeg (multimedia player, server and encoder)  ffmpeg is a complete solution to record, convert and stream audio and video. It includes libavcodec, the leading audio/video codec library.      "
"ffmpeg2theora";"0.27";"i686";"1gv";"/salix/xap";"alsa-lib,bzip2,ffmpeg,gcc,cxxlibs|gcc-g++,lame,libX11,libXau,libXdmcp,libXext,libXfixes,libogg,libtheora,libvorbis,libvpx,libxcb,opencore-amr,orc,schroedinger,speex,x264,xvidcore,zlib";"51 K";"204 K";" ffmpeg2theora (a simple converter to create Ogg Theora files)  This package provides a command-line tool to encode/recode various video formats (basically everything that ffmpeg can read) into Theora, the free video codec.      "
"ffmpegthumbnailer";"2.0.6";"i486";"1ab";"/salix/ap";"bzip2,cxxlibs|gcc-g++,ffmpeg,gcc,lame,libX11,libXau,libXdmcp,libjpeg,libogg,libpng,libtheora,libvorbis,libvpx,libxcb,opencore-amr,orc,schroedinger,speex,x264,xvidcore,zlib";"49 K";"196 K";" ffmpegthumbnailer (video thumbnailer)  This video thumbnailer can be used to create thumbnails for your video files. The thumbnailer uses ffmpeg to decode frames from the video files, so supported videoformats depend on the configuration flags of ffmpeg. This thumbnailer was designed to be as fast and lightweight as possible. The only dependencies are ffmpeg, libpng and libjpeg. The project also includes a C/C++ library that can be used by developers to generate thumbnails in their projects. "
"file-roller";"2.32.1";"i486";"1gv";"/salix/gnome";"GConf,ORBit2,atk,cairo,expat,fontconfig,freetype,gcc,cxxlibs|gcc-g++,gdk-pixbuf2,glib2,gtk+2,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libpng,libxcb,pango,pixman,zlib";"505 K";"2020 K";" file-roller is an archive manager for the GNOME desktop environment  With File Roller you can:      * Create and modify archives.     * View the content of an archive.     * View a file contained in the archive.     * Extract files from the archive.   "
"filezilla";"3.4.0";"i486";"1vc";"/salix/xap";"atk,cairo,cxxlibs|gcc-g++,dbus,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gnutls,gtk+2,libICE,libSM,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libXxf86vm,libgcrypt,libgpg-error,libidn,libjpeg,libpng,libtiff,libxcb,pango,pixman,sdl,svgalib,util-linux,wxGTK,zlib";"2467 K";"9868 K";" filezilla (the free FTP solution)  FileZilla is a fast and reliable cross-platform FTP, FTPS, and SFTP client with lots of useful features and an intuitive user interface. http://filezilla-project.org/     "
"flash-plugin";"11.2.202.228";"i686";"1gv";"/salix/l";"";"4965 K";"19860 K";" flash-plugin (Adobe(R) flashplayer plugin for GNU/Linux)  Adobe(R) Flash Player is the high-performance, lightweight, highly expressive client runtime that delivers powerful and consistent user experiences across major operating systems, browsers, mobile phones, and devices.  This is not free software. Make sure you read the Adobe(R) flashplayer license from: http://www.adobe.com/products/players/fpsh_distribution1.html If you don't agree with it, you must remove the package."
"flite";"1.3";"i486";"1dj";"/salix/l";"";"7603 K";"30412 K";" flite (speech synthesis engine)  Flite is a small and fast run-time synthesis engine designed for embedded systems and servers.  Flite was developed by Alan W Black and Kevin Lenzo at Carnegie Mellon University, in Pittsburgh.      "
"fluidsynth";"1.1.3";"i486";"1gv";"/salix/l";"alsa-lib,dbus,flac,glib2,libogg,libsndfile,libvorbis,ncurses,readline";"180 K";"720 K";" FluidSynth (a real-time software synthesizer)  FluidSynth is a real-time software synthesizer based on the SoundFont 2 specifications. FluidSynth can read MIDI events from a MIDI input device and render them to an audio device using SoundFont instruments. SoundFont files are composed of digital audio samples and additional instrument parameters. These files can be created or downloaded off the Internet. FluidSynth also has support for controlling effects in real time and can play MIDI files.  "
"flush";"0.9.9";"i486";"1dj";"/salix/xap";"atk,boost,cairo,cairomm,dbus,dbus-glib,expat,fontconfig,freetype,gcc,cxxlibs|gcc-g++,gdk-pixbuf2,glib2,glibmm,gtk+2,gtkmm,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libglade,libglademm,libnotify,libpng,libsigc++,libxcb,libxml2,openssl-solibs|openssl,pango,pangomm,pixman,zlib";"1324 K";"5296 K";" Flush is a GTK-based BitTorrent client.  You can use it to download files from the BitTorrent network.        "
"fluxbox";"1.3.1";"i486";"3vc";"/salix/xap";"cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,imlib2,libICE,libSM,libX11,libXau,libXdmcp,libXext,libXft,libXinerama,libXpm,libXrandr,libXrender,libxcb,util-linux,zlib";"729 K";"2916 K";" fluxbox (Fluxbox window manager)  Fluxbox is yet another windowmanager for X that is based on blackbox but with many new features. http://www.fluxbox.org/      "
"fotowall";"0.9";"i486";"1ab";"/salix/xap";"cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,glib2,libICE,libSM,libX11,libXau,libXdamage,libXdmcp,libXext,libXfixes,libXrender,libXxf86vm,libdrm,libpng,libxcb,mesa,qt,util-linux,zlib";"638 K";"2552 K";" fotowall (tool for creating collages from photos, text, webcam, ...)  Fotowall is an opensource creative tool that lets you play with your pixels as you've ever wanted! Make the perfect arrangement with your photos, add text, live video from your webcam and the best internet pictures.     "
"fpc";"2.4.4";"i486";"1ab";"/salix/d";"";"15825 K";"63300 K";" fpc - Free Pascal compiler  Free Pascal (aka FPK Pascal) is a 32 and 64 bit professional Pascal compiler. It is available for different processors: Intel x86, Amd64/x86_64, PowerPC, PowerPC64, Sparc, ARM.. The discontinued 1.0 version also supports the Motorola 680x0. The following operating systems are supported: Linux, FreeBSD, Haiku, Mac OS X/Darwin, DOS, Win32, Win64, WinCE, OS/2, Netware (libc and classic) and MorphOS.   "
"fpc-source";"2.4.4";"noarch";"1ab";"/salix/d";"";"15108 K";"60432 K";" fpc-source (Free Pascal compiler sources)  This package contains the sources for Free Pascal. A professional compiler for 32 and 64 Bit systems.  Some tools like the lazarus IDE may depend on this package for proper operation.    "
"fpm2";"0.79";"i486";"1lm";"/salix/xap";"atk,cairo,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gtk+2,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libpng,libxcb,libxml2,pango,pixman,zlib";"114 K";"456 K";" fpm2 (password manager)  Figaro's Password Manager 2 is a GTK+ application that allows you to securely store your passwords.       "
"freealut";"1.1.0";"i486";"1mb";"/salix/l";"openal-soft";"49 K";"196 K";" freealut (The OpenAL Utility Toolkit (ALUT))  freealut is a free implementation of OpenAL's ALUT standard.        "
"freerdp";"0.8.2";"i486";"2cp";"/salix/n";"alsa-lib,cups,libX11,libXau,libXcursor,libXdmcp,libXfixes,libXrender,libxcb,openssl-solibs|openssl,zlib";"273 K";"1092 K";" freerdp (Free implementation of the RDP protocol)  FreeRDP is a successor to rdesktop, a longtime-favored application for use on *nix systems to access Windows servers and workstations. The goal of FreeRDP is twofold:  - a more complete support of keyboard layouts;  - and support of newer Remote Desktop Protocol (RDP) features    "
"frei0r-plugins";"1.2.1";"i486";"1lm";"/salix/l";"cxxlibs|gcc-g++,gcc";"172 K";"688 K";" frei0r-plugins (plugin API for video sources and filters)  Frei0r is a minimalistic plugin API for video sources and filters. The behaviour of the effects can be controlled from the host by simple parameters. The intent is to solve the recurring reimplementation or adaptation issue of standard effects.     "
"frostwire";"4.21.2";"noarch";"1dj";"/salix/xap";"jre|jdk";"16883 K";"67532 K";" frostwire (P2P File sharing Client)  Frostwire is a cross-platform, open-source peer-to-peer filesharing client for the Gnutella and BitTorrent protocols. It is written in Java and is a fork of Limewire that includes all of  the free LimeWire version's functionality, plus a few features of LimeWire Pro's fee based upgrades. This is essentially a repackaging of the official binary from  homepage: http://www.frostwire.com/ "
"frotz";"2.43";"i486";"1gv";"/salix/games";"ncurses";"62 K";"248 K";" frotz (A Portable Z-Machine Interpreter)  The Z-machine is a virtual machine designed by Infocom to run all of their text adventures. It went through multiple revisions during the lifetime of the company, and two further revisions (V7 and V8) were created by Graham Nelson after the company's demise. The specification is now quite well documented; this version of Frotz supports version 1.0.   "
"frozen-bubble";"2.2.0";"i486";"4dj";"/salix/games";"SDL_Pango,SDL_perl,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,glib2,libX11,libXau,libXdmcp,libXext,libXrandr,libXrender,libxcb,pango,sdl,svgalib,zlib";"19764 K";"79056 K";" frozen-bubble (A Puzzle Bubble clone written in perl)  Frozen Bubble has colorful 3D rendered penguin animations, 100 levels of 1p game, hours and hours of 2p game, nights and nights of 2p/3p/4p/5p game over LAN or Internet, a level-editor, 3 professional quality digital soundtracks, 15 stereo sound effects, 8 unique graphical transition effects, 8 unique logo eye-candies. Homepage: http://www.frozen-bubble.org  "
"fsarchiver";"0.6.12";"i486";"1pw";"/salix/ap";"bzip2,libgcrypt,libgpg-error,lzo,util-linux,xz,zlib";"101 K";"404 K";" fsarchiver (Filesystem Archiver)  FSArchiver is a system tool that allows you to save the contents of a file-system to a compressed archive file. The file-system can be restored on a partition which has a different size and it can be restored on a different file-system. Unlike tar/dar, FSArchiver also creates the file-system when it extracts the data to partitions. Everything is checksummed in the archive in order to protect the data. If the archive is corrupt, you just lose the current file, not the whole archive. Note: This package also includes the fsarchiver_dialog frontend."
"ftgl";"2.1.3_rc5";"i486";"1fb";"/salix/l";"cxxlibs|gcc-g++,freetype,gcc,libX11,libXau,libXdamage,libXdmcp,libXext,libXfixes,libXxf86vm,libdrm,libxcb,mesa,zlib";"101 K";"404 K";" ftgl (C++ library that uses Freetype2) FTGL is a free cross-platform Open Source C++ library that uses  Freetype2 to simplify rendering fonts in OpenGL applications.  FTGL supports bitmaps, pixmaps, texture maps, outlines, polygon mesh, and extruded polygon rendering modes."
"ftjam";"2.5.3rc2";"i486";"1gv";"/salix/d";"";"55 K";"220 K";" ftjam (an enhanced version of the Jam build tool)  Jam is a small open-source build tool that can be used as a replacement for Make. Even though Jam is a lot simpler to use than Make, it is far more powerful and easy to master. It already works on a large variety of platforms (Unix, Windows, OS/2, VMS, MacOS, BeOS, etc.), it is trivial to port, and its design is sufficiently clear to allow any average programmer to extend it with advanced features at will.  "
"fuse-emulator";"1.0.0.1";"i486";"1gv";"/salix/games";"alsa-lib,atk,audiofile,bzip2,cairo,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gtk+2,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libgcrypt,libgpg-error,libpng,libspectrum,libxcb,libxml2,pango,pixman,zlib";"476 K";"1904 K";" fuse-emulator (the Free Unix Spectrum Emulator)  Fuse (the Free Unix Spectrum Emulator) was originally, and somewhat unsurprisingly, a ZX Spectrum emulator for Unix. However, it has now also been ported to Mac OS X, which may or may not count as a Unix variant depending on your advocacy position. It has also been ported to Windows, AmigaOS and MorphOS, which are definitely not Unix variants.   "
"fwknop";"2.0.0rc2";"i486";"1pw";"/salix/n";"gdbm,gpgme,libassuan,libgpg-error,libnl,libpcap";"114 K";"456 K";" fwknop (FireWall KNock OPerator)  fwknop implements an authorisation scheme called Single Packet Authorisation (SPA). This method of authorisation is based around a default-drop packet filter using iptables and libpcap.  The main application of this program is to protect services such as SSH with an additional layer of security in order to make the exploitation of vulnerabilities (both 0-day and unpatched code) much more difficult. "
"g15daemon";"1.9.5.3";"i486";"1dj";"/salix/ap";"libg15,libg15render,libusb";"46 K";"184 K";" G15Daemon (G15 keyboard driver)  The G15daemon is a userspace driver/multiplexer for the keyboard and its LCD, using libg15 for low-level keyboard control. Homepage: http://www.g15tools.com      "
"g3data";"1.5.3";"i486";"1gv";"/salix/xap";"atk,cairo,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gtk+2,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libpng,libxcb,pango,pixman,zlib";"51 K";"204 K";" g3data is used for extracting data from graphs  g3data is used for extracting data from graphs. In publications graphs often are included, but the actual data is missing. g3data makes the extracting process much easier.      "
