pywebkitgtk@1.1.8@i486@2cd@/salix/l@atk,cairo,cxxlibs|gcc-g++,enchant,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gnutls,gst-plugins-base,gstreamer,gtk+2,icu,libICE,libSM,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libXt,libgcrypt,libgpg-error,libjpeg,libpng,libsoup,libxcb,libxml2,libxslt,pango,pixman,pygobject,sqlite,util-linux,webkit,zlib@40 K@160 K
allegro@4.4.0.1@i486@2gv@/salix/l@libICE,libSM,libX11,libXau,libXcursor,libXdmcp,libXext,libXfixes,libXpm,libXrender,libXxf86vm,libxcb,util-linux@1104 K@4416 K
mozilla-thunderbird-l10n-zh-CN@3.1.16@i486@1ab@/salix/locale@@158 K@632 K
libbonoboui@2.24.4@i486@1gv@/salix/gnome@GConf,ORBit2,alsa-lib,atk,audiofile,cairo,dbus,dbus-glib,esound,expat,fontconfig,freetype,gcc,cxxlibs|gcc-g++,gdk-pixbuf2,glib2,gnome-vfs,gtk+2,libICE,libSM,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libart_lgpl,libbonobo,libcanberra,libglade,libgnome,libgnomecanvas,libogg,libpng,libtool,libvorbis,libxcb,libxml2,openssl-solibs|openssl,pango,pixman,popt,util-linux,zlib@293 K@1172 K
newt@0.52.12@i486@1pw@/salix/l@popt,python,slang@93 K@372 K
postgis@1.5.3@i486@1cp@/salix/ap@cxxlibs|gcc-g++,gcc,geos,libxml2,postgresql,proj,zlib@507 K@2028 K
mozilla-firefox-l10n-el@9.0.1@i486@1gv@/salix/locale@@121 K@484 K
frozen-bubble@2.2.0@i486@4dj@/salix/games@SDL_Pango,SDL_perl,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,glib2,libX11,libXau,libXdmcp,libXext,libXrandr,libXrender,libxcb,pango,sdl,svgalib,zlib@19764 K@79056 K
mirage@0.9.5.2@i486@1ab@/salix/xap@libX11,libXau,libXdmcp,libxcb,pygobject,pygtk,python@147 K@588 K
setuptools@0.6c11@i486@1ab@/salix/d@python@209 K@836 K
mozilla-thunderbird-l10n-af@3.1.16@i486@1ab@/salix/locale@@157 K@628 K
libreoffice-l10n-tr@3.3.2@i686@1gv@/salix/locale@@1391 K@5564 K
